"survey_result_id","workoscope_result_id","scores"
"232653fc-f1b5-4a8c-9a80-5d2190314466","cfb54db2-685d-43c1-80e4-3aa41d3e1727","[{""mode"" : ""Introspection"", ""mode_score"" : 31}, {""mode"" : ""Ascension"", ""mode_score"" : 26}, {""mode"" : ""Équilibre"", ""mode_score"" : 19}, {""mode"" : ""Transformation"", ""mode_score"" : 18}, {""mode"" : ""Impact"", ""mode_score"" : 6}]"
"24668cea-aff8-4943-8967-45963be6fd13","213d4be4-5ff3-45c2-a642-7b051fe3f31e","[{""mode"" : ""Introspection"", ""mode_score"" : 41}, {""mode"" : ""Impact"", ""mode_score"" : 32}, {""mode"" : ""Équilibre"", ""mode_score"" : 19}, {""mode"" : ""Transformation"", ""mode_score"" : 8}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
"26410e15-54a8-4702-aeaf-555e4aea3ebf","4fec37be-4804-4b49-baef-ffb0b35ca6e5","[{""mode"" : ""Introspection"", ""mode_score"" : 39}, {""mode"" : ""Impact"", ""mode_score"" : 32}, {""mode"" : ""Transformation"", ""mode_score"" : 18}, {""mode"" : ""Ascension"", ""mode_score"" : 8}, {""mode"" : ""Équilibre"", ""mode_score"" : 3}]"
"27680523-5270-4238-ac76-2de26d11576a","9997a741-45b2-4b3c-9bac-c85aee9a923e","[{""mode"" : ""Introspection"", ""mode_score"" : 46}, {""mode"" : ""Impact"", ""mode_score"" : 27}, {""mode"" : ""Transformation"", ""mode_score"" : 19}, {""mode"" : ""Équilibre"", ""mode_score"" : 5}, {""mode"" : ""Ascension"", ""mode_score"" : 3}]"
"2773db10-fe7d-4f35-9591-119335e8c82c","9dfc6419-a2cc-467a-aab4-d593cef93bfe","[{""mode"" : ""Introspection"", ""mode_score"" : 34}, {""mode"" : ""Transformation"", ""mode_score"" : 26}, {""mode"" : ""Impact"", ""mode_score"" : 18}, {""mode"" : ""Ascension"", ""mode_score"" : 18}, {""mode"" : ""Équilibre"", ""mode_score"" : 4}]"
"28fe3dae-36ad-4b7c-a30e-c3965827a857","91834866-38cf-44e5-a3fc-6e1e92ee301b","[{""mode"" : ""Équilibre"", ""mode_score"" : 66}, {""mode"" : ""Transformation"", ""mode_score"" : 23}, {""mode"" : ""Introspection"", ""mode_score"" : 11}, {""mode"" : ""Ascension"", ""mode_score"" : 0}, {""mode"" : ""Impact"", ""mode_score"" : 0}]"
"2a23c5c3-9996-4669-98ba-9af7715b92a3","51c8dbd3-860b-44a7-9fc9-a4b57a79fa07","[{""mode"" : ""Introspection"", ""mode_score"" : 29}, {""mode"" : ""Impact"", ""mode_score"" : 27}, {""mode"" : ""Ascension"", ""mode_score"" : 18}, {""mode"" : ""Transformation"", ""mode_score"" : 16}, {""mode"" : ""Équilibre"", ""mode_score"" : 10}]"
"2ead251e-4b5c-447b-ac94-f8b025708f51","514e3edb-ba63-4e1e-b6de-1ed80321276a","[{""mode"" : ""Introspection"", ""mode_score"" : 32}, {""mode"" : ""Impact"", ""mode_score"" : 22}, {""mode"" : ""Équilibre"", ""mode_score"" : 19}, {""mode"" : ""Ascension"", ""mode_score"" : 19}, {""mode"" : ""Transformation"", ""mode_score"" : 8}]"
"3116fb66-5770-42f4-a6b3-9682d6092f0b","a5f0eced-b67e-4833-ae42-028dff7f5c55","[{""mode"" : ""Introspection"", ""mode_score"" : 36}, {""mode"" : ""Ascension"", ""mode_score"" : 23}, {""mode"" : ""Impact"", ""mode_score"" : 19}, {""mode"" : ""Transformation"", ""mode_score"" : 18}, {""mode"" : ""Équilibre"", ""mode_score"" : 4}]"
"3150ea26-e2cc-4a75-a3be-823981e04eb6","e3bf0eba-cb6a-4780-a05a-5f670cc33b8a","[{""mode"" : ""Introspection"", ""mode_score"" : 51}, {""mode"" : ""Équilibre"", ""mode_score"" : 31}, {""mode"" : ""Impact"", ""mode_score"" : 18}, {""mode"" : ""Transformation"", ""mode_score"" : 0}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
"31b795f2-5026-49b3-bd68-0a2037ce98c4","df28a842-f31c-42ca-bc84-570c51679888","[{""mode"" : ""Introspection"", ""mode_score"" : 27}, {""mode"" : ""Impact"", ""mode_score"" : 24}, {""mode"" : ""Ascension"", ""mode_score"" : 20}, {""mode"" : ""Transformation"", ""mode_score"" : 18}, {""mode"" : ""Équilibre"", ""mode_score"" : 11}]"
"3256a2b4-c9a0-4620-8539-0e63910552b0","8941f928-3ac2-4897-9297-f5de882bd4f4","[{""mode"" : ""Introspection"", ""mode_score"" : 30}, {""mode"" : ""Transformation"", ""mode_score"" : 27}, {""mode"" : ""Impact"", ""mode_score"" : 19}, {""mode"" : ""Ascension"", ""mode_score"" : 14}, {""mode"" : ""Équilibre"", ""mode_score"" : 10}]"
"33d066f8-0099-42ef-a3f2-48497b870cf8","d5794b12-a4b6-4dfb-a924-fc662eb15b64","[{""mode"" : ""Introspection"", ""mode_score"" : 34}, {""mode"" : ""Ascension"", ""mode_score"" : 24}, {""mode"" : ""Impact"", ""mode_score"" : 18}, {""mode"" : ""Équilibre"", ""mode_score"" : 18}, {""mode"" : ""Transformation"", ""mode_score"" : 6}]"
"34f42c8b-a46d-4206-b737-88e5ff46ea1a","4ffd0343-02f7-4d60-a658-4e1bc7b5a070","[{""mode"" : ""Introspection"", ""mode_score"" : 37}, {""mode"" : ""Transformation"", ""mode_score"" : 21}, {""mode"" : ""Impact"", ""mode_score"" : 20}, {""mode"" : ""Ascension"", ""mode_score"" : 16}, {""mode"" : ""Équilibre"", ""mode_score"" : 6}]"
"360f2cd4-8dcd-4f4e-a246-68d61f18b01a","ed917093-b3b9-4524-b38f-eb8daa1dcd3d","[{""mode"" : ""Transformation"", ""mode_score"" : 38}, {""mode"" : ""Introspection"", ""mode_score"" : 32}, {""mode"" : ""Impact"", ""mode_score"" : 20}, {""mode"" : ""Ascension"", ""mode_score"" : 9}, {""mode"" : ""Équilibre"", ""mode_score"" : 1}]"
"37f32498-6668-4fee-946e-b1227f1697ba","3703030b-bc9e-4dac-ae05-d539a931cb6b","[{""mode"" : ""Introspection"", ""mode_score"" : 36}, {""mode"" : ""Équilibre"", ""mode_score"" : 29}, {""mode"" : ""Impact"", ""mode_score"" : 29}, {""mode"" : ""Transformation"", ""mode_score"" : 6}, {""mode"" : ""Ascension"", ""mode_score"" : 0}]"
"403ee274-30f2-4c06-94c8-9c1ed3e5cda6","4f06a38d-3a17-4cd7-856d-93efcae47de2","[{""mode"" : ""Ascension"", ""mode_score"" : 31}, {""mode"" : ""Transformation"", ""mode_score"" : 26}, {""mode"" : ""Introspection"", ""mode_score"" : 25}, {""mode"" : ""Impact"", ""mode_score"" : 15}, {""mode"" : ""Équilibre"", ""mode_score"" : 3}]"
"4499fa89-e486-412c-b545-acac9263d526","6bddef19-ac55-448e-83d6-360aab1c9c0d","[{""mode"" : ""Introspection"", ""mode_score"" : 32}, {""mode"" : ""Impact"", ""mode_score"" : 23}, {""mode"" : ""Transformation"", ""mode_score"" : 23}, {""mode"" : ""Ascension"", ""mode_score"" : 17}, {""mode"" : ""Équilibre"", ""mode_score"" : 5}]"
